Category,Name,Type,Description,Display Name,Unit
Pitch,Unit,int,Unit of Measurement,Unit of Measurement,degrees
Pitch,StartTime,double,Reading start time,Reading start time,time 
Pitch,EndTime,double,Reading end time,Reading end time,time 
Pitch,ReportTime,double,Reading report time,Reading report time,time 
Pitch,ErrorPct,double,Systemic Error,Systemic Error,%
Pitch,Sigma,double,Variance of the measurements,Variance of the measurements,
Pitch,MinVal,double,Minimum value,Minimum value,%
Pitch,MaxVal,double,Maximum value,Maximum value,%
Pitch,NumVal,int,Number of readings made,Number of readings made,
Pitch,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Pitch,Checksum,int,Record checksum,Record checksum,
Pitch,Tag,string,Notes,Notes,
Roll,CaseId,int,Scenario Key, Scenario hash key,
Roll,Value,double,Roll,Roll,degrees
Roll,Unit,int,Unit of Measurement,Unit of Measurement,degrees
Roll,StartTime,double,Reading start time,Reading start time,time 
Roll,EndTime,double,Reading end time,Reading end time,time 
Roll,ReportTime,double,Reading report time,Reading report time,time 
Roll,ErrorPct,double,Systemic Error,Systemic Error,%
Roll,Sigma,double,Variance of the measurements,Variance of the measurements,
Roll,MinVal,double,Minimum value,Minimum value,%
Roll,MaxVal,double,Maximum value,Maximum value,%
Roll,NumVal,int,Number of readings made,Number of readings made,
Roll,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Roll,Checksum,int,Record checksum,Record checksum,
Roll,Tag,string,Notes,Notes,
Heave,CaseId,int,Scenario Key, Scenario hash key,
Heave,Value,double,Heave,Heave,m
Heave,Unit,int,Unit of Measurement,Unit of Measurement,m
Heave,StartTime,double,Reading start time,Reading start time,time 
Heave,EndTime,double,Reading end time,Reading end time,time 
Heave,ReportTime,double,Reading report time,Reading report time,time 
Heave,ErrorPct,double,Systemic Error,Systemic Error,%
Heave,Sigma,double,Variance of the measurements,Variance of the measurements,
Heave,MinVal,double,Minimum value,Minimum value,%
Heave,MaxVal,double,Maximum value,Maximum value,%
Heave,NumVal,int,Number of readings made,Number of readings made,
Heave,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Heave,Checksum,int,Record checksum,Record checksum,
Heave,Tag,string,Notes,Notes,
VerticalMotion,CaseId,int,Scenario Key, Scenario hash key,
VerticalMotion,Value,double,Velocity,Velocity,m/s
VerticalMotion,Unit,int,Unit of Measurement,Unit of Measurement,m/s
VerticalMotion,StartTime,double,Reading start time,Reading start time,time 
VerticalMotion,EndTime,double,Reading end time,Reading end time,time 
VerticalMotion,ReportTime,double,Reading report time,Reading report time,time 
VerticalMotion,ErrorPct,double,Systemic Error,Systemic Error,%
VerticalMotion,Sigma,double,Variance of the measurements,Variance of the measurements,
VerticalMotion,MinVal,double,Minimum value,Minimum value,%
VerticalMotion,MaxVal,double,Maximum value,Maximum value,%
VerticalMotion,NumVal,int,Number of readings made,Number of readings made,
VerticalMotion,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
VerticalMotion,Checksum,int,Record checksum,Record checksum,
VerticalMotion,Tag,string,Notes,Notes,
VerticalAcceleration,CaseId,int,Scenario Key, Scenario hash key,
VerticalAcceleration,Value,double,Velocity,Velocity,m/s²
VerticalAcceleration,Unit,int,Unit of Measurement,Unit of Measurement,m/s²
VerticalAcceleration,StartTime,double,Reading start time,Reading start time,time 
VerticalAcceleration,EndTime,double,Reading end time,Reading end time,time 
VerticalAcceleration,ReportTime,double,Reading report time,Reading report time,time 
VerticalAcceleration,ErrorPct,double,Systemic Error,Systemic Error,%
VerticalAcceleration,Sigma,double,Variance of the measurements,Variance of the measurements,
VerticalAcceleration,MinVal,double,Minimum value,Minimum value,%
VerticalAcceleration,MaxVal,double,Maximum value,Maximum value,%
VerticalAcceleration,NumVal,int,Number of readings made,Number of readings made,
VerticalAcceleration,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
VerticalAcceleration,Checksum,int,Record checksum,Record checksum,
VerticalAcceleration,Tag,string,Notes,Notes,
RelativeVelocity,CaseId,int,Scenario Key, Scenario hash key,
RelativeVelocity,Trarget,int,Target Vessel IMO,Target,
RelativeVelocity,Value,double,Relative Velocity,Relative Velocity,kts/hr
RelativeVelocity,Unit,int,Unit of Measurement,Unit of Measurement,kts/hr
RelativeVelocity,StartTime,double,Reading start time,Reading start time,time 
RelativeVelocity,EndTime,double,Reading end time,Reading end time,time 
RelativeVelocity,ReportTime,double,Reading report time,Reading report time,time 
RelativeVelocity,ErrorPct,double,Systemic Error,Systemic Error,%
RelativeVelocity,Sigma,double,Variance of the measurements,Variance of the measurements,
RelativeVelocity,MinVal,double,Minimum value,Minimum value,%
RelativeVelocity,MaxVal,double,Maximum value,Maximum value,%
RelativeVelocity,NumVal,int,Number of readings made,Number of readings made,
RelativeVelocity,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
RelativeVelocity,Checksum,int,Record checksum,Record checksum,
RelativeVelocity,Tag,string,Notes,Notes,
RelativeHeading,CaseId,int,Scenario Key, Scenario hash key,
RelativeHeading,Trarget,int,Target Vessel IMO,Target,
RelativeHeading,Value,double,Relative Heading,Relative Heading,degree
RelativeHeading,Unit,int,Unit of Measurement,Unit of Measurement,degree
RelativeHeading,StartTime,double,Reading start time,Reading start time,time 
RelativeHeading,EndTime,double,Reading end time,Reading end time,time 
RelativeHeading,ReportTime,double,Reading report time,Reading report time,time 
RelativeHeading,ErrorPct,double,Systemic Error,Systemic Error,%
RelativeHeading,Sigma,double,Variance of the measurements,Variance of the measurements,
RelativeHeading,MinVal,double,Minimum value,Minimum value,%
RelativeHeading,MaxVal,double,Maximum value,Maximum value,%
RelativeHeading,NumVal,int,Number of readings made,Number of readings made,
RelativeHeading,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
RelativeHeading,Checksum,int,Record checksum,Record checksum,
RelativeHeading,Tag,string,Notes,Notes,
RelativePhase,CaseId,int,Scenario Key, Scenario hash key,
RelativePhase,Trarget,int,Target Vessel IMO,Target,
RelativePhase,Value,double,Relative Heading,Relative Heading,degree
RelativePhase,Unit,int,Unit of Measurement,Unit of Measurement,degree
RelativePhase,StartTime,double,Reading start time,Reading start time,time 
RelativePhase,EndTime,double,Reading end time,Reading end time,time 
RelativePhase,ReportTime,double,Reading report time,Reading report time,time 
RelativePhase,ErrorPct,double,Systemic Error,Systemic Error,%
RelativePhase,Sigma,double,Variance of the measurements,Variance of the measurements,
RelativePhase,MinVal,double,Minimum value,Minimum value,%
RelativePhase,MaxVal,double,Maximum value,Maximum value,%
RelativePhase,NumVal,int,Number of readings made,Number of readings made,
RelativePhase,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
RelativePhase,Checksum,int,Record checksum,Record checksum,
RelativePhase,Tag,string,Notes,Notes,
Dcpa,CaseId,int,Scenario Key, Scenario hash key,
Dcpa,Trarget,int,Target Vessel IMO,Target,
Dcpa,Value,double,DCPA,Distance to CPA,m
Dcpa,Unit,int,Unit of Measurement,Unit of Measurement,meters
Dcpa,StartTime,double,Reading start time,Reading start time,time 
Dcpa,EndTime,double,Reading end time,Reading end time,time 
Dcpa,ReportTime,double,Reading report time,Reading report time,time 
Dcpa,ErrorPct,double,Systemic Error,Systemic Error,%
Dcpa,Sigma,double,Variance of the measurements,Variance of the measurements,
Dcpa,MinVal,double,Minimum value,Minimum value,%
Dcpa,MaxVal,double,Maximum value,Maximum value,%
Dcpa,NumVal,int,Number of readings made,Number of readings made,
Dcpa,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Dcpa,Checksum,int,Record checksum,Record checksum,
Dcpa,Tag,string,Notes,Notes,
Tcpa,CaseId,int,Scenario Key, Scenario hash key,
Tcpa,Trarget,int,Target Vessel IMO,Target,
Tcpa,Value,double,TCPA,Time to CPA,seconds
Tcpa,Unit,int,Unit of Measurement,Unit of Measurement,seconds
Tcpa,StartTime,double,Reading start time,Reading start time,time 
Tcpa,EndTime,double,Reading end time,Reading end time,time 
Tcpa,ReportTime,double,Reading report time,Reading report time,time 
Tcpa,ErrorPct,double,Systemic Error,Systemic Error,%
Tcpa,Sigma,double,Variance of the measurements,Variance of the measurements,
Tcpa,MinVal,double,Minimum value,Minimum value,%
Tcpa,MaxVal,double,Maximum value,Maximum value,%
Tcpa,NumVal,int,Number of readings made,Number of readings made,
Tcpa,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Tcpa,Checksum,int,Record checksum,Record checksum,
Tcpa,Tag,string,Notes,Notes,
Vcro,CaseId,int,Scenario Key, Scenario hash key,
Vcro,Trarget,int,Target Vessel IMO,Target,
Vcro,Value,double,Vcro,Vessel conflict ranking,
Vcro,Unit,int,Unit of Measurement,Unit of Measurement,
Vcro,StartTime,double,Reading start time,Reading start time,time 
Vcro,EndTime,double,Reading end time,Reading end time,time 
Vcro,ReportTime,double,Reading report time,Reading report time,time 
Vcro,ErrorPct,double,Systemic Error,Systemic Error,%
Vcro,Sigma,double,Variance of the measurements,Variance of the measurements,
Vcro,MinVal,double,Minimum value,Minimum value,%
Vcro,MaxVal,double,Maximum value,Maximum value,%
Vcro,NumVal,int,Number of readings made,Number of readings made,
Vcro,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Vcro,Checksum,int,Record checksum,Record checksum,
Vcro,Tag,string,Notes,Notes,
Displacement,CaseId,int,Scenario Key, Scenario hash key,
Displacement,Value,double,Displacement,Displacement,m
Displacement,Unit,int,Unit of Measurement,Unit of Measurement,m
Displacement,StartTime,double,Reading start time,Reading start time,time 
Displacement,EndTime,double,Reading end time,Reading end time,time 
Displacement,ReportTime,double,Reading report time,Reading report time,time 
Displacement,ErrorPct,double,Systemic Error,Systemic Error,%
Displacement,Sigma,double,Variance of the measurements,Variance of the measurements,
Displacement,MinVal,double,Minimum value,Minimum value,%
Displacement,MaxVal,double,Maximum value,Maximum value,%
Displacement,NumVal,int,Number of readings made,Number of readings made,
Displacement,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Displacement,Checksum,int,Record checksum,Record checksum,
Displacement,Tag,string,Notes,Notes,
Draft,CaseId,int,Scenario Key, Scenario hash key,
Draft,Value,double,Draft,Draft,m
Draft,Unit,int,Unit of Measurement,Unit of Measurement,m
Draft,StartTime,double,Reading start time,Reading start time,time 
Draft,EndTime,double,Reading end time,Reading end time,time 
Draft,ReportTime,double,Reading report time,Reading report time,time 
Draft,ErrorPct,double,Systemic Error,Systemic Error,%
Draft,Sigma,double,Variance of the measurements,Variance of the measurements,
Draft,MinVal,double,Minimum value,Minimum value,%
Draft,MaxVal,double,Maximum value,Maximum value,%
Draft,NumVal,int,Number of readings made,Number of readings made,
Draft,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Draft,Checksum,int,Record checksum,Record checksum,
Draft,Tag,string,Notes,Notes,
SubmergedVolume,CaseId,int,Scenario Key, Scenario hash key,
SubmergedVolume,Value,double,Speed,Speed,m³
SubmergedVolume,Unit,int,Unit of Measurement,Unit of Measurement,m³
SubmergedVolume,StartTime,double,Reading start time,Reading start time,time 
SubmergedVolume,EndTime,double,Reading end time,Reading end time,time 
SubmergedVolume,ReportTime,double,Reading report time,Reading report time,time 
SubmergedVolume,ErrorPct,double,Systemic Error,Systemic Error,%
SubmergedVolume,Sigma,double,Variance of the measurements,Variance of the measurements,
SubmergedVolume,MinVal,double,Minimum value,Minimum value,%
SubmergedVolume,MaxVal,double,Maximum value,Maximum value,%
SubmergedVolume,NumVal,int,Number of readings made,Number of readings made,
SubmergedVolume,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
SubmergedVolume,Checksum,int,Record checksum,Record checksum,
SubmergedVolume,Tag,string,Notes,Notes,
Weight,CaseId,int,Scenario Key, Scenario hash key,
Weight,Value,double,Weight,Weight,kg
Weight,Unit,int,Unit of Measurement,Unit of Measurement,kg
Weight,StartTime,double,Reading start time,Reading start time,time 
Weight,EndTime,double,Reading end time,Reading end time,time 
Weight,ReportTime,double,Reading report time,Reading report time,time 
Weight,ErrorPct,double,Systemic Error,Systemic Error,%
Weight,Sigma,double,Variance of the measurements,Variance of the measurements,
Weight,MinVal,double,Minimum value,Minimum value,%
Weight,MaxVal,double,Maximum value,Maximum value,%
Weight,NumVal,int,Number of readings made,Number of readings made,
Weight,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Weight,Checksum,int,Record checksum,Record checksum,
Weight,Tag,string,Notes,Notes,
Payload,CaseId,int,Scenario Key, Scenario hash key,
Payload,Value,double,Payload,Payload,kg
Payload,Unit,int,Unit of Measurement,Unit of Measurement,kg
Payload,StartTime,double,Reading start time,Reading start time,time 
Payload,EndTime,double,Reading end time,Reading end time,time 
Payload,ReportTime,double,Reading report time,Reading report time,time 
Payload,ErrorPct,double,Systemic Error,Systemic Error,%
Payload,Sigma,double,Variance of the measurements,Variance of the measurements,
Payload,MinVal,double,Minimum value,Minimum value,%
Payload,MaxVal,double,Maximum value,Maximum value,%
Payload,NumVal,int,Number of readings made,Number of readings made,
Payload,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Payload,Checksum,int,Record checksum,Record checksum,
Payload,Tag,string,Notes,Notes,
Passengers,CaseId,int,Scenario Key, Scenario hash key,
Passengers,Value,int,Passengers,Passengers,no.
Passengers,Unit,int,Unit of Measurement,Unit of Measurement,no.
Passengers,StartTime,double,Reading start time,Reading start time,time 
Passengers,EndTime,double,Reading end time,Reading end time,time 
Passengers,ReportTime,double,Reading report time,Reading report time,time 
Passengers,ErrorPct,double,Systemic Error,Systemic Error,%
Passengers,Sigma,double,Variance of the measurements,Variance of the measurements,
Passengers,MinVal,double,Minimum value,Minimum value,%
Passengers,MaxVal,double,Maximum value,Maximum value,%
Passengers,NumVal,int,Number of readings made,Number of readings made,
Passengers,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Passengers,Checksum,int,Record checksum,Record checksum,
Passengers,Tag,string,Notes,Notes,
Crew,CaseId,int,Scenario Key, Scenario hash key,
Crew,Value,int,Passengers,Passengers,no.
Crew,Unit,int,Unit of Measurement,Unit of Measurement,no.
Crew,StartTime,double,Reading start time,Reading start time,time 
Crew,EndTime,double,Reading end time,Reading end time,time 
Crew,ReportTime,double,Reading report time,Reading report time,time 
Crew,ErrorPct,double,Systemic Error,Systemic Error,%
Crew,Sigma,double,Variance of the measurements,Variance of the measurements,
Crew,MinVal,double,Minimum value,Minimum value,%
Crew,MaxVal,double,Maximum value,Maximum value,%
Crew,NumVal,int,Number of readings made,Number of readings made,
Crew,Gradient,double,Linear gradient of measurements,Linear gradient of measurements,
Crew,Checksum,int,Record checksum,Record checksum,
Crew,Tag,string,Notes,Notes,
ScoreHazardousTransport,CaseId,int,Scenario Key, Scenario hash key,
ScoreHazardousTransport,ReportTime,double,Report time, Time,
ScoreHazardousTransport,Penalty,float,Penalty Score,Penalty Score,
ScoreBerthingRisk,CaseId,int,Scenario Key, Scenario hash key,
ScoreBerthingRisk,ReportTime,double,Report time, Time,
ScoreBerthingRisk,Penalty,float,Penalty Score,Penalty Score,
Colreg_R01,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R01,ReportTime,double,Report time, Time,
Colreg_R01,Clause,string,Clause ID,Clause identifier,
Colreg_R01,Penalty,float,Penalty Score,Penalty Score,
Colreg_R01,Situation,string,Situation,Situation description,
Colreg_R01,Info,string,Info,Additional information,
Colreg_R02,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R02,ReportTime,double,Report time, Time,
Colreg_R02,Clause,string,Clause ID,Clause identifier,
Colreg_R02,Penalty,float,Penalty Score,Penalty Score,
Colreg_R02,Situation,string,Situation,Situation description,
Colreg_R02,Info,string,Info,Additional information,
Colreg_R03,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R03,ReportTime,double,Report time, Time,
Colreg_R03,Clause,string,Clause ID,Clause identifier,
Colreg_R03,Penalty,float,Penalty Score,Penalty Score,
Colreg_R03,Situation,string,Situation,Situation description,
Colreg_R03,Info,string,Info,Additional information,
Colreg_R04,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R04,ReportTime,double,Report time, Time,
Colreg_R04,Clause,string,Clause ID,Clause identifier,
Colreg_R04,Penalty,float,Penalty Score,Penalty Score,
Colreg_R04,Situation,string,Situation,Situation description,
Colreg_R04,Info,string,Info,Additional information,
Colreg_R05,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R05,ReportTime,double,Report time, Time,
Colreg_R05,Clause,string,Clause ID,Clause identifier,
Colreg_R05,Penalty,float,Penalty Score,Penalty Score,
Colreg_R05,Situation,string,Situation,Situation description,
Colreg_R05,Info,string,Info,Additional information,
Colreg_R06,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R06,ReportTime,double,Report time, Time,
Colreg_R06,Clause,string,Clause ID,Clause identifier,
Colreg_R06,Penalty,float,Penalty Score,Penalty Score,
Colreg_R06,Situation,string,Situation,Situation description,
Colreg_R06,Info,string,Info,Additional information,
Colreg_R07,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R07,ReportTime,double,Report time, Time,
Colreg_R07,Clause,string,Clause ID,Clause identifier,
Colreg_R07,Penalty,float,Penalty Score,Penalty Score,
Colreg_R07,Situation,string,Situation,Situation description,
Colreg_R07,Info,string,Info,Additional information,
Colreg_R08,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R08,ReportTime,double,Report time, Time,
Colreg_R08,Clause,string,Clause ID,Clause identifier,
Colreg_R08,Penalty,float,Penalty Score,Penalty Score,
Colreg_R08,Situation,string,Situation,Situation description,
Colreg_R08,Info,string,Info,Additional information,
Colreg_R09,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R09,ReportTime,double,Report time, Time,
Colreg_R09,Clause,string,Clause ID,Clause identifier,
Colreg_R09,Penalty,float,Penalty Score,Penalty Score,
Colreg_R09,Situation,string,Situation,Situation description,
Colreg_R09,Info,string,Info,Additional information,
Colreg_R10,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R10,ReportTime,double,Report time, Time,
Colreg_R10,Clause,string,Clause ID,Clause identifier,
Colreg_R10,Penalty,float,Penalty Score,Penalty Score,
Colreg_R10,Situation,string,Situation,Situation description,
Colreg_R10,Info,string,Info,Additional information,
Colreg_R11,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R11,ReportTime,double,Report time, Time,
Colreg_R11,Clause,string,Clause ID,Clause identifier,
Colreg_R11,Penalty,float,Penalty Score,Penalty Score,
Colreg_R11,Situation,string,Situation,Situation description,
Colreg_R11,Info,string,Info,Additional information,
Colreg_R12,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R12,ReportTime,double,Report time, Time,
Colreg_R12,Clause,string,Clause ID,Clause identifier,
Colreg_R12,Penalty,float,Penalty Score,Penalty Score,
Colreg_R12,Situation,string,Situation,Situation description,
Colreg_R12,Info,string,Info,Additional information,
Colreg_R13,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R13,ReportTime,double,Report time, Time,
Colreg_R13,Clause,string,Clause ID,Clause identifier,
Colreg_R13,Penalty,float,Penalty Score,Penalty Score,
Colreg_R13,Situation,string,Situation,Situation description,
Colreg_R13,Info,string,Info,Additional information,
Colreg_R14,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R14,ReportTime,double,Report time, Time,
Colreg_R14,Clause,string,Clause ID,Clause identifier,
Colreg_R14,Penalty,float,Penalty Score,Penalty Score,
Colreg_R14,Situation,string,Situation,Situation description,
Colreg_R14,Info,string,Info,Additional information,
Colreg_R15,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R15,ReportTime,double,Report time, Time,
Colreg_R15,Clause,string,Clause ID,Clause identifier,
Colreg_R15,Penalty,float,Penalty Score,Penalty Score,
Colreg_R15,Situation,string,Situation,Situation description,
Colreg_R15,Info,string,Info,Additional information,
Colreg_R16,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R16,ReportTime,double,Report time, Time,
Colreg_R16,Clause,string,Clause ID,Clause identifier,
Colreg_R16,Penalty,float,Penalty Score,Penalty Score,
Colreg_R16,Situation,string,Situation,Situation description,
Colreg_R16,Info,string,Info,Additional information,
Colreg_R17,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R17,ReportTime,double,Report time, Time,
Colreg_R17,Clause,string,Clause ID,Clause identifier,
Colreg_R17,Penalty,float,Penalty Score,Penalty Score,
Colreg_R17,Situation,string,Situation,Situation description,
Colreg_R17,Info,string,Info,Additional information,
Colreg_R18,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R18,ReportTime,double,Report time, Time,
Colreg_R18,Clause,string,Clause ID,Clause identifier,
Colreg_R18,Penalty,float,Penalty Score,Penalty Score,
Colreg_R18,Situation,string,Situation,Situation description,
Colreg_R18,Info,string,Info,Additional information,
Colreg_R19,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R19,ReportTime,double,Report time, Time,
Colreg_R19,Clause,string,Clause ID,Clause identifier,
Colreg_R19,Penalty,float,Penalty Score,Penalty Score,
Colreg_R19,Situation,string,Situation,Situation description,
Colreg_R19,Info,string,Info,Additional information,
Colreg_R20,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R20,ReportTime,double,Report time, Time,
Colreg_R20,Clause,string,Clause ID,Clause identifier,
Colreg_R20,Penalty,float,Penalty Score,Penalty Score,
Colreg_R20,Situation,string,Situation,Situation description,
Colreg_R20,Info,string,Info,Additional information,
Colreg_R21,CaseId,int,Scenario Key, Scenario hash key,
Colreg_R21,ReportTime,double,Report time, Time,
Colreg_R21,Clause,string,Clause ID,Clause identifier,
Colreg_R21,Penalty,float,Penalty Score,Penalty Score,
Colreg_R21,Situation,string,Situation,Situation description,
Colreg_R21,Info,string,Info,Additional information,
